time_EAGER_10.log:2:real	222m39,646s
time_EAGER_10.log:3:user	1622m16,948s
time_EAGER_10.log:4:sys	23m46,033s
time_EAGER_11.log:2:real	218m49,503s
time_EAGER_11.log:3:user	1620m35,732s
time_EAGER_11.log:4:sys	23m13,752s
time_EAGER_1.log:2:real	12m23,204s
time_EAGER_1.log:3:user	12m12,563s
time_EAGER_1.log:4:sys	0m5,197s
time_EAGER_2.log:2:real	223m58,171s
time_EAGER_2.log:3:user	1747m0,644s
time_EAGER_2.log:4:sys	22m35,710s
time_EAGER_3.log:2:real	219m58,706s
time_EAGER_3.log:3:user	1679m23,627s
time_EAGER_3.log:4:sys	22m1,167s
time_EAGER_4.log:2:real	222m16,094s
time_EAGER_4.log:3:user	1729m2,044s
time_EAGER_4.log:4:sys	22m43,591s
time_EAGER_5.log:2:real	224m9,284s
time_EAGER_5.log:3:user	1744m34,739s
time_EAGER_5.log:4:sys	22m44,643s
time_EAGER_6.log:2:real	222m39,813s
time_EAGER_6.log:3:user	1735m28,223s
time_EAGER_6.log:4:sys	23m2,497s
time_EAGER_7.log:2:real	222m6,029s
time_EAGER_7.log:3:user	1758m44,170s
time_EAGER_7.log:4:sys	22m34,260s
time_EAGER_8.log:2:real	225m22,032s
time_EAGER_8.log:3:user	1759m49,062s
time_EAGER_8.log:4:sys	22m53,783s
time_EAGER_9.log:2:real	227m20,764s
time_EAGER_9.log:3:user	1772m39,992s
time_EAGER_9.log:4:sys	23m4,062s
time_nf-core_eager_10.log:2:real	201m59,562s
time_nf-core_eager_10.log:3:user	1347m31,629s
time_nf-core_eager_10.log:4:sys	10m44,605s
time_nf-core_eager_11.log:2:real	205m10,923s
time_nf-core_eager_11.log:3:user	1377m41,153s
time_nf-core_eager_11.log:4:sys	10m23,501s
time_nf-core_eager_1.log:2:real	201m27,804s
time_nf-core_eager_1.log:3:user	1356m57,295s
time_nf-core_eager_1.log:4:sys	11m5,908s
time_nf-core_eager_2.log:2:real	199m39,954s
time_nf-core_eager_2.log:3:user	1352m16,243s
time_nf-core_eager_2.log:4:sys	10m46,230s
time_nf-core_eager_3.log:2:real	205m18,407s
time_nf-core_eager_3.log:3:user	1390m21,008s
time_nf-core_eager_3.log:4:sys	11m12,010s
time_nf-core_eager_4.log:2:real	198m35,308s
time_nf-core_eager_4.log:3:user	1345m26,545s
time_nf-core_eager_4.log:4:sys	10m42,888s
time_nf-core_eager_5.log:2:real	205m0,064s
time_nf-core_eager_5.log:3:user	1379m21,861s
time_nf-core_eager_5.log:4:sys	11m23,892s
time_nf-core_eager_6.log:2:real	209m22,154s
time_nf-core_eager_6.log:3:user	1397m11,534s
time_nf-core_eager_6.log:4:sys	11m24,870s
time_nf-core_eager_7.log:2:real	208m57,163s
time_nf-core_eager_7.log:3:user	1387m37,518s
time_nf-core_eager_7.log:4:sys	11m14,246s
time_nf-core_eager_8.log:2:real	215m19,809s
time_nf-core_eager_8.log:3:user	1433m40,207s
time_nf-core_eager_8.log:4:sys	11m13,406s
time_nf-core_eager_9.log:2:real	208m42,770s
time_nf-core_eager_9.log:3:user	1388m42,035s
time_nf-core_eager_9.log:4:sys	11m4,425s
time_paleomix_10.log:32:real	323m1,870s
time_paleomix_10.log:33:user	1510m51,963s
time_paleomix_10.log:34:sys	9m28,427s
time_paleomix_11.log:32:real	315m45,234s
time_paleomix_11.log:33:user	1520m3,941s
time_paleomix_11.log:34:sys	10m28,564s
time_paleomix_1.log:32:real	303m21,157s
time_paleomix_1.log:33:user	1442m26,545s
time_paleomix_1.log:34:sys	12m12,973s
time_paleomix_2.log:32:real	312m45,801s
time_paleomix_2.log:33:user	1481m11,010s
time_paleomix_2.log:34:sys	10m36,049s
time_paleomix_3.log:32:real	313m19,570s
time_paleomix_3.log:33:user	1488m9,295s
time_paleomix_3.log:34:sys	10m38,333s
time_paleomix_4.log:32:real	304m7,169s
time_paleomix_4.log:33:user	1469m29,205s
time_paleomix_4.log:34:sys	10m52,840s
time_paleomix_5.log:32:real	306m27,194s
time_paleomix_5.log:33:user	1482m0,134s
time_paleomix_5.log:34:sys	10m39,077s
time_paleomix_6.log:32:real	308m10,895s
time_paleomix_6.log:33:user	1487m36,282s
time_paleomix_6.log:34:sys	11m26,808s
time_paleomix_7.log:32:real	312m22,584s
